age,job,marital,education,credit_in_default,housing_loan,personal_loan,last_contact_type,last_contact_month,last_contact_day,last_contact_duration,n_contacts_this_campaign,n_contacts_prev_campaign,prev_campaign_outcome,registered,location
31.0,entrepreneur,married,unknown,no,yes,no,telephone,jun,fri,40.0,2,0,nonexistent,no,Oliveira de Azeméis
35.0,blue-collar,married,professional.course,no,yes,no,cellular,may,wed,466.0,2,0,nonexistent,no,Mealhada
45.0,blue-collar,single,unknown,no,no,no,telephone,may,thu,78.0,3,0,nonexistent,no,Lagoa
33.0,admin.,single,university.degree,no,no,no,cellular,nov,thu,291.0,1,0,nonexistent,no,Portalegre
37.0,blue-collar,single,basic.9y,no,yes,no,telephone,may,tue,185.0,2,0,nonexistent,no,Viseu
42.0,technician,divorced,professional.course,no,yes,no,cellular,aug,tue,265.0,11,0,nonexistent,no,Santana
30.0,technician,single,university.degree,no,yes,no,cellular,aug,fri,232.5,3,0,nonexistent,no,Portalegre
43.0,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,fri,101.0,6,0,nonexistent,no,Póvoa de Santa Iria
44.0,admin.,single,basic.6y,unknown,yes,no,cellular,jul,thu,130.0,2,0,nonexistent,no,Albufeira
27.0,services,single,high.school,no,yes,no,cellular,jul,tue,168.0,3,0,nonexistent,no,Porto
36.0,unknown,married,high.school,no,no,no,telephone,may,thu,232.5,2,0,nonexistent,no,unknown
32.0,admin.,married,university.degree,no,yes,yes,cellular,nov,thu,51.0,1,0,nonexistent,no,Queluz
30.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,may,mon,186.0,1,0,nonexistent,no,Olhão da Restauração
33.0,technician,married,professional.course,no,yes,no,telephone,aug,fri,58.0,1,0,nonexistent,no,Lagoa
28.0,technician,single,high.school,no,yes,no,cellular,jul,tue,232.5,1,0,nonexistent,no,Esmoriz
46.0,blue-collar,unknown,basic.4y,no,no,no,cellular,nov,thu,185.0,2,0,nonexistent,no,Olhão da Restauração
58.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,aug,wed,232.5,21,0,nonexistent,no,Tondela
55.0,blue-collar,single,basic.4y,no,yes,no,cellular,apr,wed,232.5,2,0,nonexistent,no,Gafanha da Nazaré
42.0,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,287.0,1,0,nonexistent,no,Oliveira de Azeméis
25.0,technician,single,professional.course,no,yes,no,cellular,jul,thu,312.0,5,0,nonexistent,no,Torres Vedras
44.0,management,married,basic.9y,unknown,no,no,telephone,may,wed,232.5,2,0,nonexistent,no,Leiria
31.0,blue-collar,single,high.school,no,yes,no,telephone,may,thu,120.0,1,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
40.0,admin.,married,high.school,unknown,no,yes,cellular,may,fri,232.5,4,0,nonexistent,no,Câmara de Lobos
33.0,technician,married,professional.course,unknown,no,no,cellular,may,wed,167.0,3,1,failure,no,Vila Baleira (a.k.a. Porto Santo)
37.0,admin.,married,university.degree,no,yes,no,cellular,jul,wed,353.0,1,0,nonexistent,no,Esmoriz
33.0,technician,unknown,professional.course,no,no,no,cellular,aug,thu,64.0,1,0,nonexistent,no,Vila do Conde
34.0,technician,single,university.degree,no,no,no,cellular,jul,tue,173.0,1,0,nonexistent,no,Gondomar
33.0,blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,tue,186.0,1,0,nonexistent,no,Alfena
33.0,technician,single,professional.course,no,yes,no,cellular,may,tue,42.0,1,0,nonexistent,no,Porto
34.0,services,single,high.school,no,no,no,cellular,nov,wed,155.0,1,1,failure,no,Pinhel
39.0,admin.,married,high.school,no,yes,no,telephone,may,fri,343.0,1,0,nonexistent,no,Santa Maria da Feira
42.0,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,56.0,1,0,nonexistent,no,Faro
47.0,blue-collar,married,unknown,unknown,no,no,telephone,may,thu,361.0,1,0,nonexistent,no,Póvoa de Santa Iria
40.0,services,married,basic.6y,no,no,no,cellular,nov,thu,232.5,2,0,nonexistent,no,Agualva-Cacém
39.0,services,divorced,high.school,unknown,yes,no,telephone,jun,mon,241.0,5,0,nonexistent,no,Funchal
42.0,blue-collar,married,unknown,no,no,yes,cellular,apr,thu,579.0,3,0,nonexistent,no,Estremoz
54.0,services,married,basic.9y,no,yes,yes,cellular,nov,mon,175.0,3,0,nonexistent,no,Valpaços
41.0,admin.,married,university.degree,no,yes,no,cellular,aug,wed,460.0,1,0,nonexistent,no,Vila Nova de Santo André
33.0,admin.,single,university.degree,no,yes,no,cellular,aug,mon,566.0,6,0,nonexistent,no,Praia da Vitória
23.0,management,single,university.degree,no,yes,yes,cellular,jul,thu,804.0,2,0,nonexistent,no,Praia da Vitória
53.0,technician,divorced,high.school,no,yes,no,cellular,jul,tue,232.5,4,0,nonexistent,no,Póvoa de Santa Iria
54.0,blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,fri,602.0,5,0,nonexistent,no,Elvas
58.0,unknown,divorced,unknown,unknown,yes,no,cellular,jul,mon,341.0,12,0,nonexistent,no,unknown
35.0,blue-collar,married,basic.4y,no,yes,no,telephone,jul,fri,178.0,1,0,nonexistent,no,Rio Tinto
25.0,admin.,single,high.school,no,no,no,cellular,jul,tue,313.0,6,0,nonexistent,no,Agualva-Cacém
41.0,management,married,university.degree,no,unknown,unknown,cellular,may,tue,232.5,1,0,nonexistent,no,Chaves
35.0,technician,unknown,professional.course,no,yes,no,cellular,aug,mon,120.0,2,0,nonexistent,no,Peso da Régua
28.0,blue-collar,single,high.school,no,yes,no,cellular,jul,tue,232.5,5,0,nonexistent,no,Lagoa
26.0,unknown,single,high.school,no,no,no,telephone,jun,wed,72.0,1,0,nonexistent,no,unknown
57.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,1051.0,3,0,nonexistent,no,Anadia
51.0,services,married,high.school,unknown,no,yes,cellular,aug,tue,20.0,5,0,nonexistent,no,Barcelos
24.0,technician,divorced,professional.course,no,no,no,cellular,apr,fri,332.0,1,1,failure,no,Horta
29.0,self-employed,married,professional.course,no,no,no,telephone,jun,wed,632.0,1,0,nonexistent,no,Caniço
46.0,management,married,high.school,no,no,no,cellular,nov,fri,232.5,3,0,nonexistent,no,Covilhã
53.0,services,married,unknown,no,yes,no,cellular,jun,tue,232.5,1,0,nonexistent,no,Agualva-Cacém
26.0,services,single,high.school,no,yes,no,cellular,jul,wed,284.0,8,0,nonexistent,no,Amora
55.0,technician,married,basic.6y,no,yes,no,telephone,may,tue,452.0,2,0,nonexistent,no,Guimarães
35.0,blue-collar,single,unknown,no,no,no,cellular,jun,mon,232.5,1,0,nonexistent,no,Peso da Régua
59.0,admin.,divorced,unknown,no,no,no,cellular,apr,wed,194.0,1,0,nonexistent,no,Covilhã
30.0,services,married,unknown,no,yes,no,telephone,may,wed,333.0,1,0,nonexistent,no,Quarteira
47.0,admin.,married,university.degree,no,yes,no,cellular,nov,thu,70.0,2,0,nonexistent,no,Loulé
34.0,unknown,unknown,professional.course,unknown,yes,no,telephone,may,thu,158.0,1,0,nonexistent,no,unknown
66.0,retired,married,professional.course,no,yes,yes,cellular,apr,fri,222.0,4,0,nonexistent,no,Valongo
35.0,management,single,university.degree,no,yes,no,cellular,jul,tue,590.0,23,0,nonexistent,no,Lisbon
27.0,admin.,married,high.school,no,no,no,cellular,oct,tue,572.0,1,0,nonexistent,no,Rio Tinto
36.0,housemaid,married,basic.4y,no,no,no,cellular,aug,mon,232.5,2,0,nonexistent,no,Tarouca
34.0,unknown,married,high.school,no,no,no,telephone,may,tue,211.0,1,0,nonexistent,no,unknown
39.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,tue,149.0,1,0,nonexistent,no,Castelo Branco
28.0,services,single,basic.9y,no,yes,no,telephone,may,fri,148.0,2,0,nonexistent,no,Oliveira do Bairro
41.0,services,married,high.school,unknown,yes,yes,telephone,jun,tue,31.0,1,0,nonexistent,no,Alfena
34.0,management,married,university.degree,no,yes,no,telephone,may,wed,155.0,1,0,nonexistent,no,Figueira da Foz
52.0,management,married,university.degree,no,no,no,cellular,may,fri,698.0,5,1,failure,no,Ermesinde
36.0,blue-collar,married,unknown,unknown,yes,no,telephone,may,fri,219.0,4,0,nonexistent,no,Gouveia
33.0,unknown,married,unknown,unknown,yes,no,cellular,nov,thu,386.0,2,0,nonexistent,no,unknown
50.0,management,married,unknown,no,yes,no,cellular,oct,fri,232.5,2,0,nonexistent,no,Pinhel
31.0,services,married,high.school,no,no,yes,cellular,nov,thu,232.5,1,0,nonexistent,no,Aveiro
45.0,blue-collar,single,high.school,no,no,no,cellular,may,fri,358.0,1,0,nonexistent,no,Gondomar
47.0,admin.,married,university.degree,no,yes,no,telephone,jun,tue,232.5,9,0,nonexistent,no,Sines
38.0,admin.,married,university.degree,no,yes,no,telephone,aug,fri,20.0,1,0,nonexistent,no,Silves
55.0,admin.,single,university.degree,unknown,no,no,cellular,nov,mon,232.5,1,0,nonexistent,no,Vila do Conde
48.0,blue-collar,married,basic.4y,no,no,no,telephone,jun,fri,29.0,2,0,nonexistent,no,Agualva-Cacém
29.0,services,married,high.school,no,yes,yes,cellular,may,tue,380.0,1,0,nonexistent,no,Peso da Régua
31.0,blue-collar,married,basic.9y,no,no,no,cellular,nov,thu,277.0,1,0,nonexistent,no,Maia
51.0,technician,divorced,high.school,unknown,no,no,cellular,aug,tue,162.0,3,0,nonexistent,no,Oliveira do Hospital
27.0,technician,married,professional.course,no,no,no,cellular,may,tue,234.0,6,1,failure,no,Barcelos
40.0,technician,married,professional.course,no,yes,no,cellular,aug,thu,232.5,8,0,nonexistent,no,Marinha Grande
30.0,blue-collar,single,unknown,no,yes,no,telephone,may,mon,232.5,1,0,nonexistent,no,Serpa
39.0,technician,single,professional.course,no,yes,no,cellular,nov,wed,180.0,1,1,failure,no,Leiria
29.0,admin.,married,university.degree,no,no,no,telephone,jul,mon,232.5,1,0,nonexistent,no,Praia da Vitória
55.0,unemployed,divorced,basic.9y,no,no,no,telephone,jun,fri,9.0,6,0,nonexistent,no,Mêda
34.0,management,divorced,university.degree,no,no,yes,cellular,jul,tue,232.5,5,0,nonexistent,no,Trancoso
53.0,unknown,married,high.school,unknown,no,no,telephone,jun,wed,232.5,3,0,nonexistent,no,Santana
51.0,services,married,high.school,unknown,no,yes,telephone,jun,wed,269.0,1,0,nonexistent,no,Barreiro
29.0,admin.,single,university.degree,no,no,no,cellular,jul,wed,232.5,6,0,nonexistent,no,Coimbra
22.0,admin.,single,high.school,no,yes,no,cellular,jul,tue,232.5,1,0,nonexistent,no,Abrantes
42.0,management,married,basic.6y,no,no,no,cellular,nov,fri,133.0,1,0,nonexistent,no,Valongo
33.0,admin.,married,university.degree,no,no,no,telephone,may,wed,55.0,1,0,nonexistent,no,Esposende
41.0,admin.,single,high.school,no,no,no,cellular,apr,fri,232.5,3,0,nonexistent,no,Barreiro
44.0,blue-collar,married,basic.4y,unknown,yes,yes,cellular,aug,wed,310.0,1,0,nonexistent,no,Oliveira do Bairro
42.0,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,wed,232.5,11,0,nonexistent,no,Tondela
26.0,management,unknown,university.degree,unknown,yes,no,cellular,jul,wed,124.0,1,0,nonexistent,no,Águeda
23.0,student,single,basic.9y,no,no,no,cellular,jul,tue,73.0,6,0,nonexistent,no,Almada
35.0,blue-collar,single,basic.6y,no,no,no,cellular,nov,thu,370.0,1,1,failure,no,Vila Nova de Famalicão
52.0,admin.,married,unknown,no,no,no,cellular,aug,mon,232.5,1,0,nonexistent,no,Torres Vedras
26.0,unknown,married,basic.9y,no,no,no,cellular,may,wed,45.0,2,2,failure,no,unknown
32.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,232.5,2,1,failure,no,Rio Tinto
45.0,technician,married,professional.course,no,no,no,telephone,jul,wed,20.0,5,0,nonexistent,no,Póvoa de Santa Iria
36.0,services,unknown,high.school,no,yes,no,cellular,oct,fri,232.5,1,1,success,no,Mangualde
73.0,retired,married,basic.9y,no,no,no,cellular,aug,fri,239.0,1,1,success,no,Alfena
30.0,blue-collar,single,basic.6y,no,yes,no,cellular,may,tue,357.0,1,2,failure,no,Rebordosa
56.0,management,married,basic.9y,unknown,no,no,cellular,apr,tue,232.5,1,0,nonexistent,no,Santana
40.0,blue-collar,single,unknown,unknown,yes,no,telephone,jun,fri,8.0,7,0,nonexistent,no,Vila Baleira (a.k.a. Porto Santo)
46.0,blue-collar,married,basic.4y,no,yes,no,cellular,nov,wed,416.0,2,0,nonexistent,no,Loulé
51.0,services,divorced,unknown,unknown,yes,no,telephone,jun,fri,16.0,3,0,nonexistent,no,Águeda
24.0,services,single,high.school,no,no,no,telephone,may,wed,260.0,1,0,nonexistent,no,Torres Vedras
35.0,management,divorced,university.degree,no,no,no,cellular,jul,fri,210.0,4,0,nonexistent,no,Évora
53.0,unknown,married,basic.4y,no,yes,no,telephone,jul,fri,232.5,1,0,nonexistent,no,unknown
34.0,admin.,single,high.school,no,no,no,telephone,jun,tue,423.0,1,0,nonexistent,no,Funchal
45.0,services,divorced,high.school,unknown,no,no,cellular,may,wed,232.5,3,0,nonexistent,no,Águeda
45.0,blue-collar,married,illiterate,no,yes,no,cellular,aug,fri,232.5,1,0,nonexistent,no,Santa Cruz
37.0,admin.,divorced,basic.9y,unknown,no,no,telephone,may,thu,312.0,6,0,nonexistent,no,Fundão
49.0,blue-collar,married,basic.6y,no,no,no,cellular,aug,mon,232.5,6,0,nonexistent,no,Vila Franca de Xira
36.0,services,married,basic.6y,no,yes,no,telephone,may,thu,64.0,1,0,nonexistent,no,Ermesinde
43.0,blue-collar,married,basic.9y,unknown,unknown,unknown,cellular,may,tue,46.0,1,0,nonexistent,no,Ílhavo
34.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,232.5,2,0,nonexistent,no,Rebordosa
38.0,blue-collar,married,basic.6y,no,no,no,cellular,jul,tue,728.0,8,0,nonexistent,no,Águeda
56.0,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,fri,232.5,2,0,nonexistent,no,Covilhã
37.0,services,married,high.school,no,yes,no,cellular,nov,tue,157.0,2,0,nonexistent,no,Oliveira do Bairro
29.0,technician,single,basic.9y,no,yes,no,cellular,may,mon,288.0,2,0,nonexistent,no,Miranda do Douro
40.0,services,married,high.school,no,yes,no,telephone,may,mon,232.5,3,0,nonexistent,no,Valbom
31.0,blue-collar,married,basic.9y,no,unknown,unknown,telephone,may,mon,73.0,1,0,nonexistent,no,Agualva-Cacém
55.0,unknown,married,university.degree,no,yes,no,cellular,apr,thu,211.0,3,0,nonexistent,no,unknown
44.0,blue-collar,married,basic.9y,unknown,yes,no,telephone,may,mon,33.0,4,0,nonexistent,no,Almada
50.0,technician,single,professional.course,no,no,yes,cellular,jul,mon,173.0,8,0,nonexistent,no,Tondela
58.0,management,married,university.degree,unknown,no,no,telephone,may,thu,205.0,2,0,nonexistent,no,Valongo
29.0,unemployed,unknown,university.degree,no,no,yes,telephone,may,wed,211.0,2,0,nonexistent,no,Évora
34.0,unemployed,married,high.school,no,yes,no,cellular,nov,mon,564.0,2,0,nonexistent,no,Valbom
53.0,admin.,married,basic.9y,unknown,yes,no,telephone,may,fri,168.0,3,0,nonexistent,no,Évora
42.0,management,married,unknown,unknown,no,no,telephone,may,fri,232.5,2,0,nonexistent,no,Marinha Grande
51.0,technician,divorced,professional.course,no,yes,yes,cellular,apr,fri,232.5,1,1,failure,no,Setúbal
42.0,management,married,university.degree,no,no,no,cellular,nov,mon,232.5,1,0,nonexistent,no,Câmara de Lobos
36.0,technician,unknown,unknown,no,yes,no,telephone,nov,tue,34.0,1,0,nonexistent,no,Espinho
50.0,blue-collar,married,unknown,unknown,no,yes,telephone,may,tue,600.0,1,0,nonexistent,no,Mêda
27.0,services,single,high.school,no,yes,no,telephone,may,wed,386.0,1,0,nonexistent,no,Portimão
57.0,admin.,married,university.degree,unknown,yes,yes,cellular,aug,tue,61.0,4,0,nonexistent,no,Macedo de Cavaleiros
36.0,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,98.0,1,2,failure,no,Esposende
49.0,blue-collar,married,basic.4y,unknown,unknown,unknown,telephone,jun,fri,25.0,1,0,nonexistent,no,Setúbal
29.0,services,married,high.school,unknown,yes,no,cellular,nov,thu,441.0,4,0,nonexistent,no,Odivelas
50.0,unemployed,married,basic.9y,unknown,yes,no,telephone,aug,thu,192.0,1,0,nonexistent,no,Reguengos de Monsaraz
42.0,admin.,single,university.degree,unknown,yes,yes,telephone,may,wed,62.0,3,0,nonexistent,no,Seixal
42.0,admin.,single,high.school,no,yes,no,cellular,jul,thu,154.0,4,0,nonexistent,no,Ílhavo
44.0,entrepreneur,married,university.degree,unknown,no,yes,cellular,jul,thu,13.0,2,0,nonexistent,no,Santana
33.0,services,divorced,high.school,no,yes,no,telephone,jun,fri,52.0,4,0,nonexistent,no,Seixal
33.0,entrepreneur,married,university.degree,no,no,no,cellular,nov,thu,55.0,1,0,nonexistent,no,Fundão
30.0,technician,single,university.degree,unknown,yes,no,cellular,may,thu,722.0,1,0,nonexistent,no,Sines
46.0,admin.,married,basic.6y,unknown,yes,no,cellular,may,mon,275.0,2,0,nonexistent,no,Vila Real de Santo António
52.0,technician,divorced,university.degree,no,no,no,cellular,aug,tue,122.0,1,0,nonexistent,no,Lagoa
31.0,admin.,married,university.degree,no,no,no,cellular,may,wed,232.5,5,0,nonexistent,no,Portimão
34.0,services,married,high.school,no,yes,no,cellular,may,mon,577.0,1,0,nonexistent,no,Ponte de Sor
39.0,technician,married,university.degree,unknown,no,no,cellular,aug,fri,1028.0,1,0,nonexistent,no,Valpaços
33.0,services,unknown,high.school,no,yes,no,telephone,may,thu,789.0,1,0,nonexistent,no,Fafe
30.0,admin.,unknown,high.school,no,yes,yes,cellular,jul,mon,263.0,1,0,nonexistent,no,Elvas
44.0,blue-collar,married,basic.6y,unknown,no,no,cellular,jul,thu,168.0,1,0,nonexistent,no,Serpa
51.0,unknown,married,basic.4y,unknown,no,no,cellular,aug,tue,232.5,2,0,nonexistent,no,unknown
43.0,entrepreneur,married,basic.9y,no,no,no,telephone,jun,tue,301.0,1,0,nonexistent,no,Barreiro
36.0,housemaid,married,high.school,no,no,no,telephone,may,tue,141.0,4,0,nonexistent,no,Agualva-Cacém
51.0,admin.,married,unknown,no,yes,no,telephone,may,thu,232.5,2,0,nonexistent,no,Rio Tinto
28.0,admin.,single,university.degree,no,no,no,cellular,jul,thu,69.0,3,0,nonexistent,no,Gafanha da Nazaré
24.0,services,single,high.school,no,no,no,telephone,jul,wed,61.0,14,0,nonexistent,no,Elvas
34.0,services,single,high.school,no,no,no,cellular,nov,wed,232.5,2,0,nonexistent,no,Tomar
35.0,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri,232.5,2,0,nonexistent,no,Silves
49.0,entrepreneur,married,university.degree,unknown,yes,yes,cellular,may,thu,197.0,3,0,nonexistent,no,Câmara de Lobos
22.0,blue-collar,single,unknown,unknown,unknown,unknown,telephone,may,tue,270.0,1,0,nonexistent,no,Olhão da Restauração
37.0,services,married,basic.6y,unknown,yes,no,cellular,nov,mon,372.0,1,0,nonexistent,no,Seixal
47.0,admin.,married,university.degree,no,no,no,cellular,jul,fri,84.0,3,0,nonexistent,no,Fundão
30.0,unknown,single,high.school,no,no,no,cellular,aug,tue,243.0,4,0,nonexistent,no,unknown
24.0,unemployed,single,unknown,no,no,yes,telephone,may,tue,121.0,2,0,nonexistent,no,Fafe
31.0,blue-collar,unknown,high.school,no,no,no,cellular,jul,wed,166.0,1,0,nonexistent,no,Pinhel
34.0,admin.,married,unknown,no,yes,no,telephone,may,wed,232.5,2,0,nonexistent,no,Portimão
49.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,3.0,1,0,nonexistent,no,Machico
55.0,services,unknown,high.school,no,yes,no,telephone,may,tue,232.5,1,0,nonexistent,no,Serpa
45.0,services,married,basic.6y,no,yes,yes,telephone,jun,thu,232.5,1,0,nonexistent,no,Santana
32.0,technician,single,high.school,no,yes,yes,cellular,may,mon,232.5,1,0,nonexistent,no,Portimão
54.0,technician,married,professional.course,no,no,no,cellular,jul,fri,796.0,1,0,nonexistent,no,Câmara de Lobos
55.0,retired,married,basic.9y,unknown,no,no,cellular,may,wed,674.0,1,0,nonexistent,no,Mirandela
36.0,blue-collar,single,basic.9y,unknown,yes,no,cellular,may,wed,232.5,4,0,nonexistent,no,Funchal
33.0,blue-collar,unknown,basic.9y,no,no,no,telephone,jul,tue,346.0,2,0,nonexistent,no,Fátima
72.0,retired,unknown,unknown,no,yes,no,cellular,jul,mon,128.0,2,1,failure,no,Praia da Vitória
59.0,admin.,married,university.degree,no,yes,no,telephone,may,fri,232.5,2,0,nonexistent,no,Lagoa
26.0,services,single,high.school,no,no,no,cellular,may,thu,243.0,1,0,nonexistent,no,Gondomar
45.0,blue-collar,divorced,basic.4y,unknown,no,no,telephone,may,wed,123.0,1,0,nonexistent,no,Queluz
25.0,student,single,high.school,no,yes,no,cellular,may,mon,432.0,3,0,nonexistent,no,Fafe
40.0,blue-collar,single,unknown,no,no,yes,telephone,jun,fri,274.0,2,0,nonexistent,no,Vila Real
51.0,unknown,divorced,high.school,no,yes,no,cellular,jul,thu,241.0,2,0,nonexistent,no,unknown
